"impression";Treatment;Number_of_parameters;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"Neutral";Dynamic Type;4;1;Map<S, W, G, E>;Map<S, W, G, E>;true;8056;
"Neutral";Dynamic Type;2;1;Map<E, Q>;Map<E, Q>;true;4160;
"Neutral";Dynamic Type;3;1;Map<G, A, P>;Map<G, A, P>;true;7680;
"Neutral";Static Type;2;1;Map<V, M>;Map<V, M>;true;2336;
"Neutral";Static Type;5;1;Map<N, R, D, W, P>;Map<N, R, D, W, P>;true;5216;
"Neutral";Static Type;5;1;Map<H, Z, Q, Y, V>;Map<H, Z, Q, Y, V>;true;7904;
"Neutral";Dynamic Type;3;1;Map<A, R, H>;Map<A, R, H>;true;5112;
"Neutral";Static Type;3;1;Map<N, A, X>;Map<N, A, X>;true;3568;
"Neutral";Dynamic Type;4;1;Map<T, B, N, O>;Map<T, B, N, O>;true;6024;
"Neutral";Dynamic Type;5;1;Map<O, V, N, J, P>;Map<O, V, N, J, P>;true;7072;
"Neutral";Static Type;5;1;Map<A, E, K, J, U>;Map<A, E, K, J, U>;true;4760;
"Neutral";Static Type;3;1;Map<J, B, F>;Map<J, B, F>;true;3359;
"Neutral";Static Type;4;1;Map<I, H, P, M>;Map<I, H, P, M>;true;4192;
"Neutral";Dynamic Type;4;1;Map<A, G, S, D>;Map<A, G, S, D>;true;5400;
"Neutral";Dynamic Type;3;1;Map<R, X, P>;Map<R, X, P>;true;4128;
"Neutral";Static Type;4;1;Map<A, X, D, Y>;Map<A, X, D, Y>;true;4832;
"Neutral";Static Type;4;1;Map<M, K, S, V>;Map<M, K, S, V>;true;3856;
"Neutral";Dynamic Type;2;1;Map<G, K>;Map<G, K>;true;3688;
"Neutral";Static Type;3;1;Map<W, J, Z>;Map<W, J, Z>;true;4976;
"Neutral";Static Type;4;1;Map<X, R, C, E>;Map<X, R, C, E>;true;3792;
"Neutral";Static Type;2;1;Map<T, I>;Map<T, I>;true;3152;
"Neutral";Static Type;2;1;Map<V, F>;Map<V, F>;true;2353;
"Neutral";Static Type;3;1;Map<R, K, M>;Map<R, K, M>;true;2952;
"Neutral";Dynamic Type;3;1;Map<O, K, V>;Map<O, K, V>;true;4728;
"Neutral";Dynamic Type;5;1;Map<B, U, F, G, I>;Map<B, U, F, G, I>;true;8032;
"Neutral";Static Type;5;1;Map<B, K, O, P, T>;Map<B, K, O, P, T>;true;5368;
"Neutral";Dynamic Type;2;1;Map<X, Z>;Map<X, Z>;true;3016;
"Neutral";Static Type;3;1;Map<V, H, P>;Map<V, H, P>;true;4128;
"Neutral";Dynamic Type;5;1;Map<Q, Z, J, W, R>;Map<Q, Z, J, W, R>;true;7024;
"Neutral";Static Type;2;1;Map<K, W>;Map<K, W>;true;2552;
"Neutral";Dynamic Type;4;1;Map<R, N, E, L>;Map<R, N, E, L>;true;5656;
"Neutral";Static Type;4;1;Map<V, L, B, S>;Map<V, L, B, S>;true;3992;
"Neutral";Static Type;5;1;Map<Y, V, Q, C, I>;Map<Y, V, Q, C, I>;true;5136;
"Neutral";Dynamic Type;3;1;Map<Q, T, D>;Map<Q, T, D>;true;5344;
"Neutral";Dynamic Type;4;1;Map<H, G, U, C>;Map<H, G, U, C>;true;7537;
"Neutral";Dynamic Type;5;1;Map<L, M, T, R, N>;Map<L, M, T, R, N>;true;8008;
"Neutral";Static Type;2;1;Map<W, L>;Map<W, L>;true;2448;
"Neutral";Dynamic Type;5;1;Map<T, R, B, U, Q>;Map<T, R, B, U, Q>;true;8168;
"Neutral";Dynamic Type;2;1;Map<D, W>;Map<D, W>;true;3376;
"Neutral";Dynamic Type;2;1;Map<M, C>;Map<M, C>;true;3624;
